BaseType,Initial_Weight_g,AfterBlend_Weight_g,AfterHeating_Weight_g,Heating_Temperature_C,AfterCompression_Weight_g,Heating_time,Pan_type,Blending_time,Blender_power_W,mixer_speed,ph,moisture,Compression_Pressure_psi
Bottle guard,106.06,109.6,59.97,102.01,57.92,18.04,Iron ,23.66,300.09,2.11,6.06,L3,"
"
Bottle guard,109.56,116.82,62.43,94.07,59.61,19.78,Iron ,26.24,310.11,2.14,6.44,L3,"
"
Bottle guard,115.48,107.89,58.77,103.61,60.06,18.79,Iron ,24.98,312.18,1.87,6.74,L3,"
"
Bottle guard,112.48,106.29,63.55,103.5,59.51,17.79,Iron ,25.98,298.13,2.01,6.24,L3,"
"
Bottle guard,115.31,116.92,58.07,97.31,64.21,19.16,Iron ,23.55,300.9,1.94,6.01,L3,"
"
Bottle guard,118.84,115.92,61.77,105.72,63.71,18.47,Iron ,26.71,294.72,2.15,6.67,L3,"
"
Bottle guard,117.64,102.17,65.8,101.25,56.77,17.61,Iron ,24.35,302.81,1.91,6.25,L3,"
"
Bottle guard,89.16,81.62,49.17,93.82,44.66,13.66,Iron ,21.41,192.74,1.05,6.75,L2,"
"
Bottle guard,107.31,115.69,60.54,92.71,55.53,17.69,Iron ,24.88,323.94,1.96,6.3,L3,"
"
Bottle guard,111.1,111.8,62.52,96.81,58.8,17.83,Iron ,26.85,278.09,2.09,5.82,L3,"
"
Bottle guard,84.93,83.07,52.09,84.31,45.7,13.48,Iron ,18.7,190.97,0.95,6.9,L2,"
"
Bottle guard,87.35,91.43,50.85,87.51,46.27,13.8,Iron ,19.9,198.57,0.96,6.39,L2,"
"
Bottle guard,94.37,81.5,49.77,96.65,43.65,12.03,Iron ,20.69,213.45,1.06,6.58,L2,"
"
Bottle guard,85.12,81.53,46.19,85.89,45.05,12.99,Iron ,19.33,202.41,0.95,7.0,L2,"
"
Bottle guard,104.92,115.64,66.0,103.85,63.09,18.5,Iron ,23.68,323.58,2.14,6.2,L3,"
"
Bottle guard,107.95,114.09,66.66,107.0,63.55,18.14,Iron ,24.53,297.22,2.12,6.44,L3,"
"
Bottle guard,87.27,88.15,51.24,83.37,42.98,13.7,Iron ,21.46,215.22,1.02,6.44,L2,"
"
Bottle guard,104.61,105.15,64.3,102.56,59.07,19.85,Iron ,25.54,279.62,1.98,6.33,L3,"
"
Bottle guard,84.81,91.87,45.89,89.03,48.79,12.72,Iron ,18.79,196.52,0.94,6.26,L2,"
"
Bottle guard,112.97,105.79,65.96,92.56,63.05,20.02,Iron ,24.04,293.37,2.04,6.22,L3,"
"
Bottle guard,105.5,106.04,64.96,105.9,58.53,18.12,Iron ,24.5,313.96,1.92,6.13,L3,"
"
Bottle guard,104.72,116.32,60.65,106.68,55.34,18.46,Iron ,23.37,317.73,1.91,6.36,L3,"
"
Bottle guard,92.31,94.67,52.47,93.38,49.21,12.21,Iron ,20.27,206.88,0.97,6.05,L2,"
"
Bottle guard,111.6,116.89,67.08,102.32,55.24,18.42,Iron ,23.19,279.72,2.02,6.54,L3,"
"
Bottle guard,106.56,104.64,59.06,103.69,63.05,20.4,Iron ,24.63,298.32,2.15,6.36,L3,"
"
Bottle guard,118.69,103.68,63.76,93.02,60.37,17.8,Iron ,23.59,300.19,1.93,6.06,L3,"
"
Bottle guard,106.27,114.09,60.08,96.22,63.31,18.72,Iron ,26.98,314.95,1.93,5.85,L3,"
"
Bottle guard,110.05,100.87,61.48,92.84,58.22,18.46,Iron ,23.19,319.94,2.09,6.77,L3,"
"
Bottle guard,83.8,90.62,46.47,90.33,48.69,12.54,Iron ,20.23,189.92,0.98,6.45,L2,"
"
Bottle guard,117.04,116.0,63.44,98.83,64.15,18.88,Iron ,26.83,285.6,1.85,6.1,L3,"
"
Bottle guard,111.9,114.65,60.44,104.55,57.07,18.5,Iron ,26.98,298.12,2.12,6.27,L3,"
"
Bottle guard,120.69,107.56,66.09,97.6,56.76,18.6,Iron ,25.77,287.13,1.87,6.65,L3,"
"
Bottle guard,107.94,114.75,60.44,100.34,55.65,19.99,Iron ,24.98,286.84,2.12,6.05,L3,"
"
Bottle guard,104.52,113.63,65.18,104.96,63.34,18.06,Iron ,23.64,290.12,2.04,6.1,L3,"
"
Bottle guard,85.45,88.44,46.87,90.61,45.83,12.75,Iron ,19.8,211.59,1.02,6.99,L2,"
"
Bottle guard,111.08,107.68,67.83,96.01,63.18,19.94,Iron ,26.09,316.63,2.02,6.0,L3,"
"
Bottle guard,115.61,108.85,67.12,97.07,57.15,18.04,Iron ,23.11,304.88,2.02,6.13,L3,"
"
Bottle guard,92.51,87.45,51.43,96.55,46.93,14.03,Iron ,18.98,213.11,1.03,6.14,L2,"
"
Bottle guard,85.82,94.96,46.04,91.55,49.74,13.14,Iron ,20.79,206.11,1.02,6.85,L2,"
"
Bottle guard,105.99,109.19,66.29,93.82,63.5,20.36,Iron ,23.07,291.65,1.86,6.45,L3,"
"
Bottle guard,113.66,100.89,61.64,99.56,60.78,19.12,Iron ,23.34,282.68,2.11,6.35,L3,"
"
Bottle guard,112.89,116.33,59.72,92.36,62.09,18.44,Iron ,26.64,276.12,2.0,6.24,L3,"
"
Bottle guard,95.0,88.08,51.55,86.5,49.75,13.01,Iron ,21.0,205.2,0.93,6.18,L2,"
"
Bottle guard,118.83,103.24,63.39,94.64,58.23,19.69,Iron ,24.53,289.42,1.93,6.06,L3,"
"
Bottle guard,90.87,83.34,50.94,89.37,47.11,12.03,Iron ,21.21,199.74,1.05,6.9,L2,"
"
Bottle guard,89.93,93.53,49.43,87.8,45.24,12.73,Iron ,20.86,194.32,0.95,6.04,L2,"
"
Bottle guard,120.7,115.4,59.61,95.24,62.65,19.89,Iron ,25.1,283.79,1.99,6.55,L3,"
"
Bottle guard,89.07,94.5,48.36,87.86,43.39,13.55,Iron ,18.58,210.9,1.03,6.88,L2,"
"
Bottle guard,105.48,104.88,59.6,107.95,60.24,17.74,Iron ,25.52,314.9,1.9,6.31,L3,"
"
Bottle guard,121.02,117.5,64.7,105.86,64.39,18.04,Iron ,24.14,294.13,2.05,6.05,L3,"
"
Bottle guard,93.25,85.76,47.97,95.15,46.0,12.42,Iron ,20.72,205.98,1.06,6.57,L2,"
"
Bottle guard,115.34,118.24,67.26,104.53,60.69,20.08,Iron ,26.3,299.11,1.87,6.02,L3,"
"
Bottle guard,88.82,88.44,45.64,85.38,43.41,13.65,Iron ,19.24,213.29,1.03,6.03,L2,"
"
Bottle guard,87.49,85.76,50.49,86.79,49.11,13.85,Iron ,18.41,190.41,1.04,6.76,L2,"
"
Bottle guard,85.77,86.08,52.41,91.67,47.26,13.03,Iron ,19.69,204.9,1.02,6.31,L2,"
"
Bottle guard,94.65,86.05,45.71,93.33,48.85,12.02,Iron ,19.44,191.43,1.04,6.66,L2,"
"
Bottle guard,120.6,105.4,66.95,96.63,62.55,17.66,Iron ,24.21,295.66,2.16,6.53,L3,"
"
Bottle guard,106.45,109.36,62.15,93.7,60.05,17.67,Iron ,24.85,278.36,1.85,6.6,L3,"
"
Bottle guard,84.98,89.59,48.99,93.91,46.9,12.24,Iron ,18.52,215.83,0.94,6.04,L2,"
"
Brinjal,126.65,131.21,53.18,102.01,52.03,18.07,Iron ,35.11,378.43,3.06,5.77,L3,27
Brinjal,120.08,113.4,56.09,117.69,52.32,19.79,Iron ,36.51,357.43,3.11,5.97,L3,27
Brinjal,125.47,116.14,55.09,106.68,46.08,17.69,Iron ,34.92,352.08,2.93,5.66,L3,27
Brinjal,130.55,113.84,49.98,112.16,51.73,18.45,Iron ,36.1,351.22,2.94,5.63,L3,27
Brinjal,100.45,98.62,50.22,104.75,44.26,12.64,Iron ,31.06,369.92,1.95,6.13,L2,25
Brinjal,103.67,105.17,47.11,106.88,42.36,13.18,Iron ,30.28,368.57,2.03,5.53,L2,25
Brinjal,129.84,125.64,52.05,111.22,50.51,20.3,Iron ,36.39,365.95,2.81,5.33,L3,27
Brinjal,96.77,101.31,50.79,102.97,43.22,13.95,Iron ,30.86,329.81,2.12,5.67,L2,25
Brinjal,125.51,115.44,51.75,116.84,52.53,19.5,Iron ,32.89,376.84,3.0,5.51,L3,27
Brinjal,104.65,103.92,45.2,97.54,42.63,12.76,Iron ,30.84,375.17,2.05,6.18,L2,25
Brinjal,104.04,95.67,48.11,100.8,42.47,13.5,Iron ,30.06,336.56,1.89,5.53,L2,25
Brinjal,100.46,104.58,47.45,100.66,43.27,12.29,Iron ,29.38,334.62,1.87,6.26,L2,25
Brinjal,104.09,95.29,49.35,93.12,47.35,13.47,Iron ,28.88,371.48,2.06,5.39,L2,25
Brinjal,121.15,122.73,52.74,114.03,46.55,18.5,Iron ,34.74,373.87,3.05,5.97,L3,27
Brinjal,134.58,120.1,50.03,111.76,45.69,18.02,Iron ,33.16,356.76,3.05,5.7,L3,27
Brinjal,118.34,132.43,56.26,110.97,50.91,19.88,Iron ,33.25,368.53,3.17,5.18,L3,27
Brinjal,112.16,102.32,44.48,101.1,45.98,12.44,Iron ,28.82,377.99,1.89,5.86,L2,25
Brinjal,98.48,97.67,49.17,93.65,43.11,12.52,Iron ,28.29,349.98,1.89,5.44,L2,25
Brinjal,102.81,97.93,44.21,92.13,42.3,13.41,Iron ,27.9,353.41,2.14,5.35,L2,25
Brinjal,118.25,115.6,56.81,116.19,48.97,20.04,Iron ,37.22,363.46,3.19,5.71,L3,27
Brinjal,125.13,117.77,53.09,112.97,47.3,17.7,Iron ,35.53,361.34,2.86,5.27,L3,27
Brinjal,112.87,108.12,51.32,94.59,48.47,13.96,Iron ,31.03,324.49,2.04,6.2,L2,25
Brinjal,103.4,106.97,48.95,105.88,48.31,13.54,Iron ,29.31,329.15,2.12,6.05,L2,25
Brinjal,134.48,113.86,53.69,109.69,48.15,18.75,Iron ,33.11,365.54,3.22,5.38,L3,27
Brinjal,111.16,108.33,51.38,106.45,42.53,12.32,Iron ,28.08,362.8,2.08,5.99,L2,25
Brinjal,135.11,130.85,50.14,103.48,46.44,17.75,Iron ,34.34,351.36,3.16,5.51,L3,27
Brinjal,107.36,99.71,51.09,92.47,44.41,13.52,Iron ,27.69,334.17,1.99,6.22,L2,25
Brinjal,132.32,118.3,56.06,110.84,50.56,19.36,Iron ,36.17,381.49,3.19,5.98,L3,27
Brinjal,110.94,105.5,45.79,96.2,48.11,13.35,Iron ,30.33,358.04,2.08,5.81,L2,25
Brinjal,130.1,132.7,55.88,113.52,51.92,18.59,Iron ,36.05,354.13,2.83,5.45,L3,27
Brinjal,106.36,109.05,50.03,105.24,46.85,13.0,Iron ,28.82,365.23,1.84,6.22,L2,25
Brinjal,104.64,99.72,49.04,102.94,48.3,12.06,Iron ,29.93,375.63,2.07,5.55,L2,25
Brinjal,123.07,128.18,54.08,113.55,45.61,19.26,Iron ,35.47,360.33,3.21,5.25,L3,27
Brinjal,117.45,123.74,50.89,117.36,51.16,20.05,Iron ,37.53,359.09,2.9,5.39,L3,27
Brinjal,121.79,129.87,50.51,101.76,46.85,20.27,Iron ,35.68,356.64,3.09,5.51,L3,27
Brinjal,96.85,97.43,50.44,99.42,47.05,13.22,Iron ,28.24,334.05,1.93,6.03,L2,25
Brinjal,109.23,96.26,45.0,102.18,48.03,12.13,Iron ,32.18,369.4,1.89,5.52,L2,25
Brinjal,127.4,117.03,58.32,105.41,46.78,18.57,Iron ,34.09,381.22,3.12,5.21,L3,27
Brinjal,130.36,114.74,57.34,106.01,50.43,18.98,Iron ,34.8,388.86,3.2,5.48,L3,27
Brinjal,134.72,124.71,53.51,116.26,52.86,17.8,Iron ,35.27,368.72,3.12,5.74,L3,27
Brinjal,108.05,107.95,46.46,104.49,47.62,12.82,Iron ,31.32,334.37,2.04,6.11,L2,25
Brinjal,112.17,102.27,50.51,95.27,47.06,13.35,Iron ,32.24,342.17,2.09,5.58,L2,25
Brinjal,106.14,97.1,48.88,100.89,43.25,13.67,Iron ,27.7,337.25,2.01,5.35,L2,25
Brinjal,129.34,119.66,50.16,101.21,52.48,19.99,Iron ,33.6,363.2,3.03,5.66,L3,27
Brinjal,101.98,104.3,50.35,103.98,46.71,13.05,Iron ,31.78,338.88,1.96,6.18,L2,25
Brinjal,121.26,129.43,56.92,115.94,49.39,18.87,Iron ,35.23,392.4,3.0,5.71,L3,27
Brinjal,124.55,126.05,53.43,101.24,46.91,17.77,Iron ,33.52,360.44,2.98,5.26,L3,27
Brinjal,103.07,98.92,47.82,107.06,43.06,12.07,Iron ,30.17,329.1,1.85,5.76,L2,25
Brinjal,127.57,119.87,51.12,104.88,48.45,18.1,Iron ,33.68,375.71,3.09,5.23,L3,27
Brinjal,99.08,101.92,50.84,97.28,45.37,12.69,Iron ,32.28,375.99,2.02,5.43,L2,25
Brinjal,119.2,132.23,56.98,110.17,48.51,19.18,Iron ,35.4,384.77,3.21,5.55,L3,27
Brinjal,108.47,96.02,50.85,92.47,46.3,13.59,Iron ,30.24,346.69,1.95,5.53,L2,25
Brinjal,97.62,105.94,45.89,101.98,44.46,13.69,Iron ,28.07,334.61,1.93,5.67,L2,25
Brinjal,100.95,95.95,45.73,92.83,44.18,12.5,Iron ,29.57,351.05,2.09,5.95,L2,25
Brinjal,107.76,96.22,51.59,94.77,42.07,13.4,Iron ,30.86,331.81,1.9,6.23,L2,25
Brinjal,123.69,115.84,53.49,115.68,52.25,19.96,Iron ,34.88,409.28,3.14,5.28,L3,27
Brinjal,132.99,125.34,54.83,102.25,49.33,19.94,Iron ,35.77,401.09,3.18,5.73,L3,27
Brinjal,123.47,120.14,52.53,109.92,46.95,17.88,Iron ,33.25,393.86,2.91,5.91,L3,27
Brinjal,106.18,99.84,44.52,97.34,47.84,11.98,Iron ,29.72,330.08,2.1,6.02,L2,25
Brinjal,129.4,126.07,52.92,118.62,49.28,19.96,Iron ,32.92,408.22,2.78,5.75,L3,27
Brinjal,104.36,96.12,50.56,96.01,47.29,13.83,Iron ,27.61,347.75,2.02,5.72,L2,25
Brinjal,104.37,100.34,46.12,100.98,42.58,13.99,Iron ,28.5,352.05,2.13,6.11,L2,25
Brinjal,108.56,108.34,48.43,93.52,41.94,12.17,Iron ,31.69,364.11,2.09,5.85,L2,25
Brinjal,134.93,127.01,52.17,109.38,49.86,18.39,Iron ,35.8,354.98,2.99,5.69,L3,27
Brinjal,128.24,120.27,55.42,107.48,49.18,19.31,Iron ,35.11,382.48,3.21,5.36,L3,27
Brinjal,99.12,103.28,47.69,96.24,41.99,13.66,Iron ,31.89,351.85,1.88,5.54,L2,25
Brinjal,123.28,116.7,49.89,118.66,53.26,19.89,Iron ,32.61,391.07,3.21,5.47,L3,27
Brinjal,111.31,100.63,47.77,103.43,42.19,13.51,Iron ,30.72,360.02,2.0,5.99,L2,25
Brinjal,137.13,124.65,53.81,107.35,50.7,19.36,Iron ,36.23,365.55,3.04,5.21,L3,27
Brinjal,108.03,101.11,46.27,100.29,47.87,12.52,Iron ,30.09,354.45,2.13,6.06,L2,25
Brinjal,109.39,98.68,49.08,105.71,46.27,13.73,Iron ,28.36,351.58,1.87,6.1,L2,25
Brinjal,126.15,124.11,57.49,103.06,50.37,19.91,Iron ,32.26,400.74,3.07,5.22,L3,27
Brinjal,106.24,103.74,46.09,104.22,46.05,12.56,Iron ,28.05,334.5,2.03,5.64,L2,25
Brinjal,133.96,130.12,52.38,110.93,53.06,18.05,Iron ,33.33,379.79,3.13,5.16,L3,27
Brinjal,119.5,123.72,55.39,101.33,51.24,18.04,Iron ,36.16,383.51,3.02,5.6,L3,27
Brinjal,107.85,102.79,47.12,107.23,48.15,13.31,Iron ,28.31,326.5,1.96,5.76,L2,25
Brinjal,123.07,131.09,56.33,113.77,46.57,18.9,Iron ,37.05,409.89,3.24,5.46,L3,27
Brinjal,96.86,98.94,47.66,96.15,45.36,13.99,Iron ,29.39,338.12,2.15,6.1,L2,25
Brinjal,107.08,99.7,51.15,101.94,47.1,13.56,Iron ,31.52,375.44,1.93,6.24,L2,25
Brinjal,131.6,125.08,53.26,101.57,46.93,19.01,Iron ,35.18,350.26,3.2,5.33,L3,27
Brinjal,99.3,98.09,46.62,94.89,41.55,14.0,Iron ,28.72,368.84,1.96,5.92,L2,25
Brinjal,136.34,126.69,55.59,112.4,46.03,20.48,Iron ,33.88,373.78,2.96,5.45,L3,27
Brinjal,107.82,107.83,49.71,94.59,47.26,13.05,Iron ,29.18,323.09,1.96,5.98,L2,25
Brinjal,100.22,100.34,45.1,100.1,43.96,13.41,Iron ,29.73,375.47,2.15,5.39,L2,25
Brinjal,111.09,95.09,44.82,95.04,43.64,12.88,Iron ,27.62,366.41,1.96,5.6,L2,25
Brinjal,97.11,105.8,50.32,101.23,44.4,13.5,Iron ,30.79,351.79,1.87,5.8,L2,25
Brinjal,129.17,129.55,50.74,105.0,47.31,18.47,Iron ,35.86,380.15,2.97,5.37,L3,27
Brinjal,131.52,130.26,57.65,102.63,46.78,18.27,Iron ,34.39,353.47,2.88,5.81,L3,27
Brinjal,99.03,109.85,50.34,99.59,45.44,12.75,Iron ,28.33,374.1,2.12,5.45,L2,25
Brinjal,99.09,104.9,50.47,100.7,46.68,13.47,Iron ,31.98,348.07,2.1,5.37,L2,25
Brinjal,109.39,101.05,51.61,102.81,41.84,12.11,Iron ,31.73,358.57,1.92,5.43,L2,25
Brinjal,136.96,126.76,52.2,104.44,51.01,18.49,Iron ,32.72,372.81,2.96,5.24,L3,27
Brinjal,129.94,128.39,56.13,110.62,50.1,20.47,Iron ,35.39,361.05,2.88,5.82,L3,27
Brinjal,121.37,126.78,55.71,116.46,46.0,17.82,Iron ,33.81,390.68,2.8,5.83,L3,27
Brinjal,98.23,100.91,50.88,102.67,46.3,13.61,Iron ,31.74,371.33,1.89,5.58,L2,25
Brinjal,105.73,97.44,49.58,96.7,43.13,13.54,Iron ,28.1,364.09,2.0,6.05,L2,25
Brinjal,100.83,94.65,48.74,93.34,46.59,13.36,Iron ,29.62,372.65,1.85,5.56,L2,25
Brinjal,126.62,118.64,49.87,111.37,47.4,17.7,Iron ,34.46,373.62,2.81,5.72,L3,27
Brinjal,106.14,95.22,47.47,107.93,47.99,13.74,Iron ,30.82,374.97,2.02,5.8,L2,25
Brinjal,136.84,124.88,55.31,111.13,50.95,18.36,Iron ,34.01,396.1,2.83,5.96,L3,27
Carrot Peels,78.43,77.76,43.09,88.11,40.31,13.27,Iron ,35.31,389.47,2.14,6.2,L3,28
Carrot Peels,110.68,105.64,58.13,96.08,57.33,17.81,Iron ,45.09,449.18,3.19,6.96,L2,27
Carrot Peels,98.25,105.8,54.84,100.81,52.75,16.61,Iron ,47.82,467.83,2.97,6.49,L2,27
Carrot Peels,109.97,108.23,56.37,95.41,55.84,16.61,Iron ,47.2,425.02,3.17,6.14,L2,27
Carrot Peels,77.31,76.04,45.64,85.97,40.23,13.66,Iron ,35.37,418.29,1.97,6.21,L3,28
Carrot Peels,82.98,82.27,42.07,80.27,42.38,13.12,Iron ,37.35,403.19,1.94,6.8,L3,28
Carrot Peels,101.05,100.17,56.7,90.36,50.98,18.63,Iron ,44.21,464.07,3.06,6.2,L2,27
Carrot Peels,103.64,106.84,57.48,89.44,55.67,17.99,Iron ,46.51,485.25,2.85,6.4,L2,27
Carrot Peels,86.46,79.69,40.17,80.15,41.78,12.41,Iron ,33.06,426.76,2.07,6.13,L3,28
Carrot Peels,76.25,79.79,41.75,81.34,38.95,12.37,Iron ,33.03,449.3,2.02,6.09,L3,28
Carrot Peels,109.82,107.76,55.7,98.9,54.89,17.71,Iron ,44.33,415.82,3.01,6.79,L2,27
Carrot Peels,100.15,108.47,53.68,89.67,50.85,18.12,Iron ,47.57,468.89,2.95,6.52,L2,27
Carrot Peels,84.79,85.57,44.27,79.43,43.65,13.68,Iron ,35.5,426.28,2.11,6.74,L3,28
Carrot Peels,84.26,80.51,41.06,91.66,44.59,12.93,Iron ,32.38,425.77,2.07,6.66,L3,28
Carrot Peels,85.52,77.19,43.36,83.24,42.98,13.15,Iron ,36.92,438.79,1.89,6.65,L3,28
Carrot Peels,77.09,85.12,43.07,78.85,42.77,12.43,Iron ,34.62,411.4,2.07,6.39,L3,28
Carrot Peels,102.15,98.57,52.57,90.15,58.03,17.68,Iron ,46.15,450.04,3.07,6.18,L2,27
Carrot Peels,79.3,74.87,46.18,85.37,45.16,13.69,Iron ,36.59,396.21,1.97,6.3,L3,28
Carrot Peels,87.62,75.88,45.27,84.66,43.78,13.58,Iron ,32.74,405.4,1.95,6.14,L3,28
Carrot Peels,77.74,79.2,42.76,82.54,44.05,13.16,Iron ,36.1,421.3,1.84,6.67,L3,28
Carrot Peels,87.88,78.52,43.26,90.33,42.56,12.88,Iron ,32.56,420.4,1.88,6.57,L3,28
Carrot Peels,81.17,78.97,43.73,80.18,44.68,13.69,Iron ,36.95,413.2,2.14,6.86,L3,28
Carrot Peels,107.77,95.45,61.19,100.02,51.03,19.29,Iron ,47.84,469.82,2.8,7.02,L2,27
Carrot Peels,98.97,95.68,56.44,99.57,51.73,17.67,Iron ,41.59,414.25,3.2,6.32,L2,27
Carrot Peels,82.88,76.68,42.45,91.79,42.43,13.39,Iron ,33.46,402.71,1.93,6.89,L3,28
Carrot Peels,86.26,79.43,40.64,80.37,44.36,13.73,Iron ,33.9,426.01,1.97,6.34,L3,28
Carrot Peels,80.74,84.98,42.16,81.54,40.58,13.85,Iron ,35.23,447.32,1.97,6.41,L3,28
Carrot Peels,101.98,108.32,58.68,101.94,51.27,17.62,Iron ,45.44,485.26,2.79,6.9,L2,27
Carrot Peels,106.46,98.51,55.67,98.75,53.53,17.93,Iron ,43.58,445.71,3.14,6.61,L2,27
Carrot Peels,100.74,100.64,60.76,89.38,55.19,18.9,Iron ,45.08,459.56,3.1,7.01,L2,27
Carrot Peels,110.87,104.44,54.52,100.43,53.89,16.64,Iron ,46.69,472.37,2.84,6.74,L2,27
Carrot Peels,75.92,79.68,44.72,90.33,41.67,12.85,Iron ,34.98,396.91,1.99,6.5,L3,28
Carrot Peels,84.91,76.6,42.54,85.81,39.14,14.03,Iron ,35.84,402.54,2.13,6.82,L3,28
Carrot Peels,80.45,81.43,46.11,84.64,43.49,12.74,Iron ,36.73,386.84,2.07,6.31,L3,28
Carrot Peels,99.0,107.89,53.29,99.09,53.62,16.97,Iron ,44.72,414.23,2.81,6.16,L2,27
Carrot Peels,87.76,87.15,42.56,89.81,44.13,11.98,Iron ,36.23,428.4,1.92,6.56,L3,28
Carrot Peels,85.11,74.69,44.15,87.55,45.24,12.35,Iron ,32.88,406.86,1.88,7.05,L3,28
Carrot Peels,113.38,96.9,54.51,87.89,57.23,17.36,Iron ,46.02,449.68,3.23,6.57,L2,27
Carrot Peels,108.66,108.13,60.95,94.7,53.54,17.33,Iron ,42.47,416.31,3.22,6.67,L2,27
Carrot Peels,110.59,104.24,60.91,87.48,52.54,18.37,Iron ,44.22,469.97,2.86,6.75,L2,27
Carrot Peels,81.77,86.65,43.9,82.8,44.4,12.63,Iron ,37.3,438.21,1.87,6.25,L3,28
Carrot Peels,78.39,82.58,44.58,79.43,40.73,13.08,Iron ,32.52,399.82,1.97,7.11,L3,28
Carrot Peels,103.28,108.78,58.42,97.61,53.64,18.29,Iron ,45.46,433.08,3.22,6.95,L2,27
Carrot Peels,97.13,102.38,53.0,96.29,53.46,18.99,Iron ,48.48,481.53,2.87,6.26,L2,27
Carrot Peels,84.71,84.74,44.16,91.38,43.33,13.37,Iron ,34.33,409.73,2.0,6.82,L3,28
Carrot Peels,109.68,94.12,60.24,97.87,56.04,16.71,Iron ,47.85,475.52,3.05,6.52,L2,27
Carrot Peels,79.52,85.17,43.36,79.37,43.52,13.57,Iron ,32.41,392.83,1.92,6.47,L3,28
Carrot Peels,83.05,78.57,41.02,89.25,42.47,12.4,Iron ,36.32,448.72,2.12,6.07,L3,28
Carrot Peels,87.54,84.29,45.42,83.93,42.66,13.65,Iron ,33.56,402.01,2.05,6.92,L3,28
Carrot Peels,84.7,82.78,45.83,83.36,42.58,13.97,Iron ,34.73,436.28,2.01,6.9,L3,28
Carrot Peels,88.41,76.0,40.65,86.36,39.65,13.92,Iron ,34.57,387.98,2.02,6.93,L3,28
Carrot Peels,79.17,79.12,44.13,90.62,43.13,13.31,Iron ,36.36,447.12,2.14,6.98,L3,28
Carrot Peels,86.16,78.15,45.46,85.92,38.7,12.82,Iron ,33.54,452.87,1.98,6.2,L3,28
Carrot Peels,100.74,94.79,54.41,90.13,51.83,17.08,Iron ,45.73,445.39,3.2,7.09,L2,27
Carrot Peels,78.0,82.46,46.21,86.88,38.79,12.96,Iron ,33.23,445.4,2.14,7.04,L3,28
Carrot Peels,88.64,77.54,42.54,85.07,40.71,12.39,Iron ,36.59,428.42,2.03,6.64,L3,28
Carrot Peels,113.35,105.23,54.19,91.86,49.92,18.57,Iron ,47.09,482.93,3.13,6.75,L2,27
Carrot Peels,84.19,79.46,45.67,83.14,41.94,13.41,Iron ,37.42,414.71,2.05,6.62,L3,28
Carrot Peels,78.06,82.03,42.53,90.55,42.54,12.25,Iron ,35.56,433.62,2.09,6.6,L3,28
Carrot Peels,107.19,98.52,56.62,100.18,53.94,17.26,Iron ,47.13,458.11,3.04,6.63,L2,27
Carrot Peels,87.64,77.23,42.96,89.59,41.2,12.14,Iron ,35.01,439.79,2.12,6.3,L3,28
Carrot Peels,105.54,102.28,54.19,88.45,51.47,18.29,Iron ,46.55,458.07,2.84,6.75,L2,27
Carrot Peels,111.17,103.94,60.36,93.13,57.4,18.68,Iron ,45.74,456.99,3.17,6.14,L2,27
Carrot Peels,88.01,85.83,42.4,87.29,41.85,13.82,Iron ,36.45,408.63,2.09,6.3,L3,28
Carrot Peels,112.37,97.51,59.3,93.31,54.91,19.39,Iron ,46.62,462.59,2.86,6.79,L2,27
Carrot Peels,111.94,109.0,54.92,101.57,57.2,19.05,Iron ,47.0,437.36,2.9,6.75,L2,27
Carrot Peels,88.34,78.8,45.58,87.29,40.67,13.0,Iron ,34.42,406.42,1.94,6.74,L3,28
Carrot Peels,81.53,86.31,44.45,78.26,44.9,12.26,Iron ,35.26,389.67,1.91,6.2,L3,28
Carrot Peels,110.12,109.9,58.57,95.88,51.58,18.21,Iron ,48.01,416.74,3.21,6.44,L2,27
Carrot Peels,100.86,103.27,56.54,98.07,51.3,16.63,Iron ,45.05,479.48,3.2,6.21,L2,27
Carrot Peels,80.05,78.03,42.88,80.46,42.01,12.34,Iron ,32.35,453.22,1.85,6.6,L3,28
Carrot Peels,80.46,83.16,42.56,82.36,43.56,13.75,Iron ,34.18,415.63,2.07,6.6,L3,28
Carrot Peels,75.95,78.55,43.11,80.24,39.71,13.33,Iron ,37.08,419.61,1.87,6.47,L3,28
Carrot Peels,110.66,104.2,55.26,97.7,57.15,17.2,Iron ,44.11,437.08,3.12,6.84,L2,27
Carrot Peels,82.39,80.41,41.49,83.41,39.81,13.28,Iron ,32.8,394.64,1.91,6.97,L3,28
Carrot Peels,103.84,95.5,56.47,96.49,54.14,18.75,Iron ,43.01,439.05,3.06,6.73,L2,27
Carrot Peels,98.25,100.02,58.55,99.23,57.48,18.34,Iron ,47.77,429.47,2.89,6.95,L2,27
Carrot Peels,78.16,82.66,46.7,78.83,40.85,13.34,Iron ,35.48,441.02,1.89,6.18,L3,28
Carrot Peels,80.36,78.62,46.82,81.75,44.9,13.98,Iron ,35.33,409.34,1.99,6.08,L3,28
Carrot Peels,86.96,78.89,44.35,78.77,44.9,13.11,Iron ,36.64,437.55,2.05,6.33,L3,28
Carrot Peels,84.68,81.64,40.69,91.64,44.91,12.03,Iron ,33.32,442.14,2.05,7.12,L3,28
Carrot Peels,99.21,104.74,53.09,101.36,54.16,18.85,Iron ,44.55,471.66,2.96,7.04,L2,27
